College Name,City,Branch,Category,Cutoff
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,29.81
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,71.48
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,67.82
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,57.62
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,68.11
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,54.57
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,64.71
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,53.76
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,82.11
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,71.17
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,81.33
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,76.27
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,76.9
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,74.98
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,55.27
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,44.53
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,78.67
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Civil Engineering,OPEN,45.83
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,85.64
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,82.45
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,71.66
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,84.97
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,83.44
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,82.45
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,84.52
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,80.6
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,90.16
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,85.11
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,81.2
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,85.57
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,76.77
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,71.17
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,68.38
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,92.38
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,85.91
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,73.8
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,91.28
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,88.96
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,91.71
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,85.23
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,82.83
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,79.89
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,91.71
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,82.45
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,73.56
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,91.94
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,58.44
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Computer Engineering,OPEN,78.01
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,76.9
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,61.68
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,35.78
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,69.46
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,69.1
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,71.82
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,37.63
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,73.26
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,58.9
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,55.64
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,68.12
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,70.5
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,17.24
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,73.56
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,80.35
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,82.55
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,75.19
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,36.52
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,79.6
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,75.24
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,82.11
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,76.68
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,82.11
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,67.22
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,60.25
"01012 - Government College of Engineering,Yavatmal",Yavatmal,Electrical Engineering,OPEN,36.08
