College Code,College Name,Choice Code,Course Name,Stage,Category,Cutoff Rank,Percentile,City
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,GSCH,113546,61.6834321,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,GSTH,153294,41.4458186,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,GVJH,95118,69.3295893,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,GNT2H,107810,64.2631037,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,GNT3H,125465,56.2929777,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,GOBCH,92299,70.5072010,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,GSEBCH,170087,29.8059527,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,LOPENH,90454,71.4755245,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,LSCH,100020,67.8210479,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,LSTH,122122,57.6249683,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,LVJH,99012,68.1117918,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,LNT1H,128487,54.5739657,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,LOBCH,106506,64.7131860,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,LSEBCH,130252,53.7591782,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,GOPENO,59346,82.1124479,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,GSCO,90666,71.1730870,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,GNT2O,61413,81.3270637,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,GOBCO,76727,76.2716859,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,GSEBCO,74967,76.8973331,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,LOPENO,80949,74.9785452,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,LSTO,127253,55.2744499,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,DEFOPENS,147419,44.5303298,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,TFWS,69027,78.6729363,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,I,EWS,146339,45.8266058,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,GOPENH,48096,85.6421968,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,GSCH,57852,82.4521073,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,GSTH,88653,71.6607627,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,GVJH,50335,84.9728618,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,GNT1H,55218,83.4378744,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,GNT2H,57876,82.4521073,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,GOBCH,51740,84.5176078,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,GSEBCH,64034,80.6021790,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,LOPENH,33336,90.1610143,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,LSCH,49675,85.1139120,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,LNT3H,61744,81.1967017,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,LOBCH,48412,85.5729148,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,LSEBCH,75516,76.7694659,Yavatmal
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,I,PWDOPENH,90754,71.1730870,Yavatmal
